,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Gruppenname,Name,id,name
112,Keller,Rainer,Wahlkreis,113,Wesel I,SPD,Rainer Keller,,
113,Kemmer,Ronja,Wahlkreis,291,Ulm,CDU,Ronja Kemmer,2405039875.0,Ronja Kemmer
114,Kersten,Franziska,Wahlkreis,67,Börde – Jerichower Land,SPD,Franziska Kersten,,
115,Kiesewetter,Roderich,Wahlkreis,270,Aalen – Heidenheim,CDU,Roderich Kiesewetter,42698498.0,Roderich Kiesewetter
116,Kießling,Michael,Wahlkreis,224,Starnberg – Landsberg am Lech,CSU,Michael Kießling,,
117,Kippels,Georg,Wahlkreis,91,Rhein-Erft-Kreis I,CDU,Georg Kippels,,
118,Kleebank,Helmut,Wahlkreis,78,Berlin-Spandau – Charlottenburg Nord,SPD,Helmut Kleebank,4185556127.0,Helmut Kleebank
119,Klein,Volkmar,Wahlkreis,148,Siegen-Wittgenstein,CDU,Volkmar Klein,33043294.0,Volkmar Klein
120,Klein-Schmeink,Maria,Wahlkreis,129,Münster,GRÜNE,Maria Klein-Schmeink,,
121,Klinck,Kristian,Wahlkreis,6,Plön – Neumünster,SPD,Kristian Klinck,,
122,Klingbeil,Lars,Wahlkreis,35,Rotenburg I – Heidekreis,SPD,Lars Klingbeil,16255941.0,Lars Klingbeil
123,Klüssendorf,Tim,Wahlkreis,11,Lübeck,SPD,Tim Klüssendorf,19160769.0,Tim Klüssendorf
124,Knoerig,Axel,Wahlkreis,33,Diepholz – Nienburg I,CDU,Axel Knoerig,9.289748162202542e+17,Axel Knoerig
125,Koob,Markus,Wahlkreis,176,Hochtaunus,CDU,Markus Koob,2664174617.0,Markus Koob
126,Kopf,Chantal,Wahlkreis,281,Freiburg,GRÜNE,Chantal Kopf,8.200011789436273e+17,Chantal Kopf
127,Koß,Simona,Wahlkreis,59,Märkisch-Oderland – Barnim II,SPD,Simona Koß,,
128,Kreiser,Dunja,Wahlkreis,49,Salzgitter – Wolfenbüttel,SPD,Dunja Kreiser,,
129,Krichbaum,Gunther,Wahlkreis,279,Pforzheim,CDU,Gunther Krichbaum,1.161098384020824e+18,Gunther Krichbaum
130,Krings,Günter,Wahlkreis,109,Mönchengladbach,CDU,Günter Krings,392312829.0,Günter Krings
131,Krischer,Oliver,Wahlkreis,87,Aachen I,GRÜNE,Oliver Krischer,88630242.0,Oliver Krischer
132,Kröber,Martin,Wahlkreis,69,Magdeburg,SPD,Martin Kröber,,
133,König,Anne,Wahlkreis,126,Borken II,CDU,Anne König,4493363728.0,Anne König
134,Kühnert,Kevin,Wahlkreis,81,Berlin-Tempelhof-Schöneberg,SPD,Kevin Kühnert,2764750474.0,Kevin Kühnert
135,Lange,Ulrich,Wahlkreis,254,Donau-Ries,CSU,Ulrich Lange,68172699.0,Ulrich Lange
136,Larem,Andreas,Wahlkreis,186,Darmstadt,SPD,Andreas Larem,,
137,Launert,Silke,Wahlkreis,237,Bayreuth,CSU,Silke Launert,,
138,Lauterbach,Karl,Wahlkreis,101,Leverkusen – Köln IV,SPD,Karl Lauterbach,,
139,Lehmann,Jens,Wahlkreis,152,Leipzig I,CDU,Jens Lehmann,,
140,Lehmann,Sven,Wahlkreis,94,Köln II,GRÜNE,Sven Lehmann,16706236.0,Sven Lehmann
141,Lehmann,Sylvia,Wahlkreis,62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,SPD,Sylvia Lehmann,2320712427.0,Sylvia Lehmann
142,Lehrieder,Paul,Wahlkreis,251,Würzburg,CSU,Paul Lehrieder,,
143,Lenk,Barbara,Wahlkreis,155,Meißen,AfD,Barbara Lenk,,
144,Lenz,Andreas,Wahlkreis,213,Erding – Ebersberg,CSU,Andreas Lenz,3635730797.0,Andreas Lenz
145,Limbacher,Esra-Leon,Wahlkreis,299,Homburg,SPD,Esra-Leon Limbacher,,
146,Lindh,Helge,Wahlkreis,102,Wuppertal I,SPD,Helge Lindh,454981027.0,Helge Lindh
147,Lindholz,Andrea,Wahlkreis,247,Aschaffenburg,CSU,Andrea Lindholz,1446031532.0,Andrea Lindholz
148,Linnemann,Carsten,Wahlkreis,137,Paderborn – Gütersloh III,CDU,Carsten Linnemann,,
149,Loos,Bernhard,Wahlkreis,217,München-Nord,CSU,Bernhard Loos,,
150,Ludwig,Daniela,Wahlkreis,222,Rosenheim,CSU,Daniela Ludwig,1.0198466050449367e+18,Daniela Ludwig
151,Lötzsch,Gesine,Wahlkreis,86,Berlin-Lichtenberg,DIE LINKE,Gesine Lötzsch,24178198.0,Gesine Lötzsch
152,Maas,Heiko,Wahlkreis,297,Saarlouis,SPD,Heiko Maas,24158261.0,Heiko Maas
153,Machalet,Tanja,Wahlkreis,204,Montabaur,SPD,Tanja Machalet,23340320.0,Tanja Machalet
154,Mack,Klaus,Wahlkreis,280,Calw,CDU,Klaus Mack,,
155,Magwas,Yvonne,Wahlkreis,166,Vogtlandkreis,CDU,Yvonne Magwas,3852561082.0,Yvonne Magwas
156,Malottki,Erik,Wahlkreis,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,SPD,Erik Malottki,,
157,Martin,Dorothee,Wahlkreis,21,Hamburg-Nord,SPD,Dorothee Martin,241008237.0,Dorothee Martin
158,Mattfeldt,Andreas,Wahlkreis,34,Osterholz – Verden,CDU,Andreas Mattfeldt,23447001.0,Andreas Mattfeldt
159,Mayer,Stephan,Wahlkreis,212,Altötting,CSU,Stephan Mayer,455009234.0,Stephan Mayer
160,Mayer,Zoe,Wahlkreis,271,Karlsruhe-Stadt,GRÜNE,Zoe Mayer,1.248662696318419e+18,Zoe Mayer
